iter	Passed	Remaining
0	142	142035
1	143	71391
2	143	47826
3	144	36038
4	145	28956
5	146	24281
6	147	20902
7	148	18369
8	148	16389
9	149	14815
10	150	13546
11	151	12475
12	152	11562
13	153	10776
14	154	10117
15	155	9560
16	156	9032
17	157	8576
18	157	8155
19	158	7781
20	159	7444
21	160	7136
22	161	6856
23	162	6598
24	163	6370
25	164	6152
26	165	5950
27	165	5761
28	167	5614
29	168	5444
30	169	5286
31	169	5135
32	170	5000
33	171	4865
34	172	4742
35	172	4626
36	173	4523
37	174	4418
38	175	4319
39	176	4228
40	176	4138
41	177	4052
42	178	3975
43	179	3902
44	180	3836
45	181	3767
46	182	3702
47	183	3638
48	184	3578
49	185	3521
50	186	3466
51	186	3407
52	187	3356
53	188	3306
54	189	3256
55	190	3210
56	191	3166
57	192	3122
58	193	3082
59	194	3041
60	195	3004
61	195	2964
62	196	2927
63	197	2894
64	198	2859
65	199	2826
66	200	2792
67	200	2754
68	201	2721
69	202	2693
70	203	2664
71	204	2633
72	205	2606
73	206	2580
74	207	2557
75	208	2532
76	209	2506
77	209	2481
78	210	2456
79	211	2432
80	212	2408
81	212	2384
82	213	2362
83	214	2339
84	215	2316
85	216	2296
86	216	2273
87	217	2254
88	218	2235
89	219	2218
90	220	2200
91	221	2181
92	221	2163
93	222	2144
94	223	2126
95	224	2110
96	224	2093
97	225	2076
98	226	2060
99	227	2045
100	228	2030
101	228	2011
102	229	1998
103	230	1983
104	231	1969
105	231	1953
106	232	1940
107	233	1928
108	234	1916
109	235	1904
110	236	1892
111	236	1878
112	237	1867
113	238	1857
114	239	1844
115	240	1830
116	241	1820
117	242	1809
118	242	1797
119	243	1786
120	244	1775
121	245	1766
122	245	1753
123	246	1743
124	247	1732
125	248	1722
126	249	1714
127	250	1703
128	251	1694
129	251	1685
130	252	1676
131	253	1666
132	254	1658
133	255	1649
134	256	1640
135	256	1632
136	257	1624
137	258	1616
138	259	1607
139	260	1599
140	261	1591
141	262	1583
142	262	1576
143	263	1567
144	264	1559
145	265	1552
146	266	1544
147	266	1536
148	267	1529
149	268	1522
150	269	1516
151	270	1509
152	271	1503
153	272	1495
154	273	1489
155	273	1481
156	274	1474
157	275	1467
158	276	1461
159	277	1454
160	277	1448
161	278	1441
162	279	1434
163	280	1427
164	280	1420
165	281	1414
166	282	1408
167	283	1402
168	284	1397
169	285	1391
170	285	1384
171	286	1380
172	287	1373
173	288	1368
174	289	1363
175	289	1357
176	290	1351
177	291	1345
178	292	1340
179	293	1334
180	293	1327
181	294	1322
182	295	1317
183	296	1313
184	297	1308
185	297	1304
186	298	1299
